"distance.p1_30_a","instensity.p1_30_a","distance.p2_30_a","instensity.p2_30_a","distance.p3_atyp1","instensity.p3_atyp1","distance.p4_atyp2","instensity.p4_atyp2"
29.617,173.208,29.121,164.431,31.002,132.708,31.636,20.681
29.702,173.889,29.205,166.597,31.091,128.028,31.727,20.903
29.787,174.403,29.289,168.625,31.18,130.417,31.818,21.222
29.872,176,29.372,167.694,31.269,132.681,31.909,21.861
29.957,178.222,29.456,165.139,31.359,131.125,32,22.722
30.043,179.486,29.54,164.903,31.448,134.556,32.091,22.528
30.128,178.681,29.623,168.125,31.537,134.736,32.182,22.222
30.213,175.667,29.707,170.444,31.626,135.347,32.273,22.139
30.298,174.264,29.791,171.292,31.715,138.986,32.364,22.208
30.383,174.486,29.874,172.028,31.804,138.75,32.455,22.472
30.468,174.5,29.958,172.097,31.893,144.889,32.545,23
30.553,175.556,30.042,170.986,31.982,152.764,32.636,23.083
30.638,177.861,30.126,170.542,32.071,155.708,32.727,22.875
30.723,178.764,30.209,173.875,32.16,155.25,32.818,22.764
30.809,179.806,30.293,174.819,32.249,155.889,32.909,23.083
30.894,180.639,30.377,176.347,32.339,152.514,33,23.278
30.979,181.847,30.46,174.389,32.428,150.194,33.091,23.306
31.064,182.472,30.544,170.778,32.517,151.306,33.182,23.667
31.149,182.792,30.628,168.639,32.606,155.375,33.273,23.958
31.234,182,30.711,169.403,32.695,160.056,33.364,24.097
31.319,178.486,30.795,171.403,32.784,160.472,33.455,24.111
31.404,174.097,30.879,169.056,32.873,155.306,33.545,24.486
31.489,172.931,30.962,166.597,32.962,150.708,33.636,25.167
31.574,175.028,31.046,165.5,33.051,144.792,33.727,25.611
31.66,177.333,31.13,163.389,33.14,140.444,33.818,25.361
31.745,180.736,31.213,164.403,33.229,142.708,33.909,25.236
31.83,182.153,31.297,167.194,33.318,145.111,34,24.889
31.915,181.111,31.381,169.319,33.408,145.236,34.091,25.486
32,182,31.464,169.597,33.497,144.556,34.182,25.958
32.085,180.917,31.548,167.25,33.586,147.167,34.273,25.583
32.17,180.056,31.632,166.042,33.675,147.472,34.364,25.444
32.255,180.819,31.715,166.333,33.764,142.556,34.455,25.708
32.34,179.625,31.799,166.931,33.853,138.583,34.545,26.069
32.426,178.028,31.883,169.917,33.942,132.764,34.636,26.375
32.511,176.181,31.967,173.542,34.031,129.417,34.727,26.528
32.596,173.514,32.05,173.167,34.12,133.361,34.818,26.306
32.681,173.264,32.134,170.292,34.209,134.583,34.909,26.25
32.766,172.528,32.218,169.389,34.298,131.792,35,26.806
32.851,174.792,32.301,169.708,34.388,131.028,35.091,27.667
32.936,175.431,32.385,168.375,34.477,133.764,35.182,28.625
33.021,174.847,32.469,165.944,34.566,136.556,35.273,29.528
33.106,176.583,32.552,162.472,34.655,134.139,35.364,30.792
33.191,175.181,32.636,160.472,34.744,137.819,35.455,31.681
33.277,173.694,32.72,159.083,34.833,139.181,35.545,31.514
33.362,173.389,32.803,159.208,34.922,144.625,35.636,30.208
33.447,171.778,32.887,162.028,35.011,147.833,35.727,29.361
33.532,170.069,32.971,165.292,35.1,154.264,35.818,29.583
33.617,169.347,33.054,166.056,35.189,152.833,35.909,29.75
33.702,169.069,33.138,166.458,35.278,147.111,36,30.139
33.787,168.861,33.222,167.319,35.367,142.569,36.091,30.917
33.872,168.583,33.305,167.625,35.457,135.431,36.182,31.292
33.957,168.833,33.389,167.889,35.546,135.806,36.273,31.556
34.043,169.667,33.473,167.278,35.635,137.028,36.364,31.542
34.128,168.472,33.556,166.292,35.724,139.097,36.455,31.347
34.213,166.292,33.64,164.764,35.813,141.722,36.545,31.375
34.298,164.5,33.724,164.056,35.902,141.347,36.636,31.514
34.383,162.986,33.808,163.639,35.991,141.153,36.727,31.958
34.468,165.264,33.891,162.639,36.08,138.694,36.818,32.458
34.553,167.306,33.975,160.903,36.169,138.333,36.909,32.639
34.638,167.903,34.059,158.472,36.258,133.514,37,32.514
34.723,167.403,34.142,157.069,36.347,130.778,37.091,32.042
34.809,165.028,34.226,155.167,36.437,128.972,37.182,30.681
34.894,166,34.31,154.931,36.526,130.972,37.273,30.139
34.979,167.792,34.393,155.514,36.615,138.833,37.364,29.542
35.064,168.181,34.477,152.361,36.704,148.528,37.455,29.597
35.149,168.181,34.561,149.694,36.793,156.944,37.545,29.778
35.234,168.375,34.644,150.681,36.882,158.653,37.636,29.194
35.319,168.194,34.728,154.181,36.971,157.278,37.727,28.944
35.404,168.5,34.812,154.167,37.06,158.833,37.818,29.236
35.489,167.694,34.895,151.625,37.149,158.958,37.909,29.194
35.574,166.153,34.979,149.917,37.238,158.153,38,29.014
35.66,163.319,35.063,149.778,37.327,160.597,38.091,29
35.745,159.806,35.146,149.278,37.416,163.25,38.182,29.403
35.83,157.083,35.23,148.333,37.506,165.764,38.273,29.472
35.915,156.167,35.314,148.583,37.595,167.931,38.364,29.542
